Tower No,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
Mettur Gantry,2W,T,20,,,,304,,11.815365,77.829916,Good,Good,,,,Inside the sub  Station 230 kv Auto ss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.829916 11.815365, 77.82999 11.81498)"
1,,T,28,Gantry to 1,68,18,310,"60°41'43"" LT",11.81498,77.82999,Good,Good,,,,In side the sub station compount ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82999 11.81498, 77.830884 11.814593)"
2,,T,28,1 to 2 ,123,17,304,"56°18'56"" LT",11.814593,77.830884,Good,Good,,,forest ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.830884 11.814593, 77.83273 11.8155)"
3,,T,24,2 to 3 ,277.3526846,18,310,"9°39'45"" LT",11.8155,77.83273,Good,Good,,SAND ROAD,forest ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83273 11.8155, 77.8352 11.81677)"
4,,T,24,3 to 4 ,303.8645329,16,309,"6°34'59"" LT",11.81677,77.8352,Good,Good,,SAND ROAD,forest ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8352 11.81677, 77.83755 11.81834)"
5,,S,26,4 to 5 ,309.670609,18,302,,11.81834,77.83755,Good,Good,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83755 11.81834, 77.84003 11.82009)"
6,,T,28,5 to 6 ,332.6981956,12,300,"51°10'22"" LT",11.82009,77.84003,Good,Good,,CAR TRACK,plain,inside the plant copount ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84003 11.82009, 77.84014 11.82202)"
7,,S,26,6 to 7,227,16,300,,11.82202,77.84014,Good,Good,,,hill,inside the plant copount ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84014 11.82202, 77.84024 11.82389)"
8,,T,28,7 to 8 ,219,19,302,"49°46'24"" RT",11.82389,77.84024,Good,Good,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84024 11.82389, 77.84151 11.82484)"
9,,T,28,8 to 9 ,198,18,305,"49°9'57"" RT",11.82484,77.84151,Good,Good,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84151 11.82484, 77.84314 11.8245)"
10,,S,26,9 to 10,192,18,310,,11.8245,77.84314,Good,Good,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84314 11.8245, 77.845597 11.824092)"
11,,T,28,10 to 11,271.7374024,19,306,"46°6'2"" LT",11.824092,77.845597,Good,Good,,TAR ROAD,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.845597 11.824092, 77.84828 11.82605)"
12,,T,24,11 to 12,364.149854,18,310,"1°46'32"" RT",11.82605,77.84828,Good,Good,,TAR ROAD,plain,Tapping  tower ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84828 11.82605, 77.849585 11.826942)"
13,,T,24,12 to 13 ,183,18,314,"4°14'44"" LT",11.826942,77.849585,Good,Good,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.849585 11.826942, 77.85135 11.82835)"
14,,S,26,13 to 14 ,247.6877353,19,317,,11.82835,77.85135,Good,Good,,TAR ROAD,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85135 11.82835, 77.85326 11.82973)"
15,2W,T,24,14 to 15 ,258.3215202,20,323,"0°17'1"" RT",11.82973,77.85326,Good,Good,LT line crossing -2,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85326 11.82973, 77.85519 11.83111)"
16,,S,26,15 to 16 ,280,21,314,,11.83111,77.85519,Good,Good,230 Kv line crossing ,TAR ROAD,plain,230 kv line crossing MTPS II to Auto ss (53-54),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85519 11.83111, 77.85767 11.83231)"
17,,S,26,16 to 17 ,301.327894,21,308,,11.83231,77.85767,Good,Good,,TAR ROAD,plain,230 kv old line Dismatlled ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85767 11.83231, 77.85979 11.83336)"
18,,S,26,17 to 18 ,279,25,314,,11.83336,77.85979,Good,Good,,TAR ROAD,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85979 11.83336, 77.86265 11.83474)"
19,,T,24,18 to 19 ,347.3093942,28,320,"0°20'55"" LT",11.83474,77.86265,Good,Good,"11 kv ,2 LT line crossing ",SAND ROAD,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86265 11.83474, 77.86514 11.83596)"
20,,S,26,19 to 20 ,303.285386,20,323,,11.83596,77.86514,Good,Good,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86514 11.83596, 77.86804 11.83737)"
21,,S,26,20 to 21,352.6884388,15,323,,11.83737,77.86804,Good,Good,,TAR ROAD,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86804 11.83737, 77.87013 11.83839)"
22,,S,26,21 to 22,264,18,316,,11.83839,77.87013,Good,Good,LT line crossing -2,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87013 11.83839, 77.87175 11.83917)"
23,,T,24,22 to 23,227,19,316,"0°38'18"" RT",11.83917,77.87175,Good,Good,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87175 11.83917, 77.87331 11.8399)"
24,,S,26,23 to 24 ,209,19,319,,11.8399,77.87331,Good,Good,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87331 11.8399, 77.87556 11.84103)"
25,,S,26,24 to 25 ,275.4253459,21,326,,11.84103,77.87556,Good,Good,,TAR ROAD,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87556 11.84103, 77.87811 11.84228)"
26,,T,24,25 to 26 ,310.6208692,20,329,"0°15'37"" RT",11.84228,77.87811,Good,Good,LT line crossing -,CAR TRACK,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87811 11.84228, 77.88071 11.84354)"
27,,S,26,26 to 27 ,326,19,335,,11.84354,77.88071,Good,Good,11 kv  line crossing ,TAR ROAD,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88071 11.84354, 77.88333 11.84483)"
28,2W,T,24,27 to 28 ,329,20,343,"0°00'27"" RT",11.84483,77.88333,Good,Good,,,plain,Tapping tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88333 11.84483, 77.88589 11.84609)"
28A,,T,24,28 to 28A ,323,22,347,"0°51'28"" RT",11.84609,77.88589,Good,Good,,TAR ROAD,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88589 11.84609, 77.88857 11.84736)"
29,,S,26,28A to 29,324.326666,24,351,,11.84736,77.88857,Good,Good,,TAR ROAD,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88857 11.84736, 77.89089 11.84849)"
30,,S,26,29 to 30,313,22,344,,11.84849,77.89089,Good,Good,,SAND ROAD,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89089 11.84849, 77.89368 11.84986)"
31,,S,26,30 to 31,339.9689298,20,343,,11.84986,77.89368,Good,Good,,"TAR ROAD,SAND ROAD",plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89368 11.84986, 77.89655 11.85124)"
32,,S,26,31 to 32 ,358,21,340,,11.85124,77.89655,Good,Good,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89655 11.85124, 77.89908 11.85247)"
33,,S,26,32 to 33 ,329,25,350,,11.85247,77.89908,Good,Good,,TAR ROAD,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89908 11.85247, 77.90163 11.85373)"
34,,S,26,33 to 34 ,323,26,337,,11.85373,77.90163,Good,Good,,CAR TRACK,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90163 11.85373, 77.90452 11.8551)"
35,,S,26,34 to 35 ,364,30,359,,11.8551,77.90452,Good,Good,,CAR TRACK,forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90452 11.8551, 77.90746 11.85657)"
36,,S,26,35 to 36 ,372,26,334,,11.85657,77.90746,Good,Good,,CAR TRACK,forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90746 11.85657, 77.90961 11.85755)"
37,,S,26,36 to 37,278,30,320,,11.85755,77.90961,Good,Good,,,hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90961 11.85755, 77.91203 11.85876)"
38,,S,26,37 to 38 ,336,22,325,,11.85876,77.91203,Good,Good,,CAR TRACK,hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91203 11.85876, 77.91469 11.86005)"
39,,S,26,38 to 39,323.3297349,21,320,,11.86005,77.91469,Good,Good,800 kv line crossing ,"TAR ROAD,CAR TRACK",hill,Power Grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91469 11.86005, 77.91723 11.8613)"
40,,T,24,39 to 40,309.6381069,20,310,"0°10'58"" RT",11.8613,77.91723,Good,Good,400 kv line crossing ,CAR TRACK,plain,400 KV Rasipalayam - Palavady )433-434),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91723 11.8613, 77.921026 11.863009)"
41/1(TAPPING),3W,T,28,40 to 41/1(tapping),318,22,305,"45°11'38"" RT",11.863009,77.921026,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.921026 11.863009, 77.92148 11.86214)"
2,,T,24,1 to 2 ,251,19,304,"8°49'19"" LT",11.86214,77.92148,Good,Good,,CAR TRACK,plain,LILO  Tower 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92148 11.86214, 77.92306 11.85996)"
3,,T,28,2 to3,308,18,310,"33°21'13"" RT",11.85996,77.92306,Good,Good,,,plain,LILO Tower 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92306 11.85996, 77.92307 11.8597)"
Mecheri Gantry,2W,Gantry,20,LI3 to Gantry,60,,304,,11.8597,77.92307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH ,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
