S. No ,Tower No, Supspension/Tenion,JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts, broken, etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,KADALANGUDI GANTRY,T,2W,20,,,,17,,11.0884,79.57572,,,33KV - 2,"CANAL, TAAR ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57572 11.0884, 79.57607 11.08852)"
2,1,T,,28,GAN-01,40.4734619,6.662,22,"74⁰5'48"" LT",11.08852,79.57607,GOOD,GOOD,11 KV -2,ROAD,RICE STORE ROOM,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57607 11.08852, 79.57598 11.09009)"
3,2,S,,26,01-Feb,173.9267496,2.56,23,,11.09009,79.57598,GOOD,GOOD,33KV-1,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57598 11.09009, 79.57584 11.09172)"
4,3,T,,28,02-Mar,180.9324645,8.73,23,"62⁰28'29"" RT",11.09172,79.57584,GOOD,GOOD,33KV-1,CANAL,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57584 11.09172, 79.57798 11.09306)"
5,4,T,,24,03-Apr,276.8005279,3.07,23,"1⁰30'19"" LT",11.09306,79.57798,GOOD,GOOD,LT-1,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57798 11.09306, 79.57988 11.09432)"
6,5,T,,24,04-May,250.0048512,7.27,25,"5⁰23'23"" LT",11.09432,79.57988,GOOD,GOOD,"LT-1,11 KV -1","SAND, FENCING",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57988 11.09432, 79.58175 11.09583)"
7,6,S,,26,05-Jun,263.8631451,6.79,25,,11.09583,79.58175,GOOD,GOOD,"LT-1, 11 KV-1",,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58175 11.09583, 79.58384 11.09756)"
8,7,S,,26,06-Jul,297.8917396,1.98,25,,11.09756,79.58384,GOOD,GOOD,LT,SAND ROAD-2,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58384 11.09756, 79.58585 11.09917)"
9,8,S,,26,07-Aug,282.7039928,4.26,25,,11.09917,79.58585,GOOD,GOOD,,SAND ROAD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58585 11.09917, 79.58787 11.10081)"
10,9,S,,26,08-Sep,285.6475628,5.13,25,,11.10081,79.58787,GOOD,GOOD,"LI-1, 11 KV-1",,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58787 11.10081, 79.58989 11.10246)"
11,10,S,,26,09-Oct,286.3500061,4.46,23,,11.10246,79.58989,GOOD,GOOD,LT,"CANAL, SAND",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58989 11.10246, 79.59183 11.10403)"
12,11,T,2W,24,10-Nov,273.9782256,1.54,23,"5⁰45'9"" LT",11.10403,79.59183,GOOD,GOOD,LT,"CANAL, SAND",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59183 11.10403, 79.59394 11.10612)"
13,12,S,,26,11-Dec,326.4370958,2.51,24,,11.10612,79.59394,GOOD,GOOD,,"CANAL, SAND",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59394 11.10612, 79.59576 11.10797)"
14,13,S,,26,Dec-13,285.2948725,4.37,20,,11.10797,79.59576,GOOD,GOOD,LT-3,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59576 11.10797, 79.59773 11.10993)"
15,14,S,,26,13-14,305.4553487,6.09,19,,11.10993,79.59773,GOOD,GOOD,LT-1,"CANAL, SAND",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59773 11.10993, 79.5997 11.11195)"
16,15,S,,26,14-15,310.199074,3.98,20,,11.11195,79.5997,GOOD,GOOD,LT-1,SAND ROAD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5997 11.11195, 79.6016 11.11392)"
17,16,T,,24,15-16,300.9149729,1.92,19,"0⁰7'52"" RT",11.11392,79.6016,GOOD,GOOD,,CANAL,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6016 11.11392, 79.60347 11.11585)"
18,17,S,,26,16-17,295.4509672,5.61,20,,11.11585,79.60347,GOOD,GOOD,LT-2,CANAL SAND,,AGRI, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60347 11.11585, 79.60503 11.11746)"
19,18,S,,26,17-18,246.4673207,3.77,20,,11.11746,79.60503,GOOD,GOOD,,CANAL,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60503 11.11746, 79.60671 11.11917)"
20,19,S,,26,18-19,263.5262228,4.87,20,,11.11917,79.60671,GOOD,GOOD,,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60671 11.11917, 79.60845 11.121)"
21,20,T,2W,24,19-20,277.6517087,6.73,21,"4⁰43'50"" RT",11.121,79.60845,GOOD,GOOD,LT-1,TAAR,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60845 11.121, 79.610117 11.122486)"
22,21,S,,26,20-21,245.2922889,4.19,22,,11.122486,79.610117,GOOD,GOOD,,CANAL,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.610117 11.122486, 79.61185 11.12401)"
23,22,S,,26,21-22,253.4648367,2.82,21,,11.12401,79.61185,GOOD,GOOD,,"CANAL, TAAR ",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61185 11.12401, 79.61381 11.12576)"
24,23,S,,26,22-23,288.612547,2.16,22,,11.12576,79.61381,GOOD,GOOD,LT-1,CANAL,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61381 11.12576, 79.61511 11.12688)"
25,24,S,,26,23-24,188.4356916,1.89,21,,11.12688,79.61511,GOOD,GOOD,,TAAR,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61511 11.12688, 79.61735 11.12888)"
26,25,S,,26,24-25,329.8406259,3.67,20,,11.12888,79.61735,GOOD,GOOD,,"CANAL, LAKE",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61735 11.12888, 79.61918 11.13049)"
27,26,S,,26,25-26,267.6991823,1.48,21,,11.13049,79.61918,GOOD,GOOD,LT-3,CANAL,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61918 11.13049, 79.62118 11.13226)"
28,27,S,,26,26-27,293.3354024,4.81,21,,11.13226,79.62118,GOOD,GOOD,"LT-1, 11 KV-1","CANAL, SAND",PIT,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62118 11.13226, 79.62296 11.13383)"
29,28,S,,26,27-28,260.6766446,2.18,20,,11.13383,79.62296,GOOD,GOOD,LT-1,"CANAL, TAAR ",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62296 11.13383, 79.62476 11.13541)"
30,29,T,,24,28-29,263.042462,1.38,20,"3⁰24'30"" RT",11.13541,79.62476,GOOD,GOOD,,CANAL,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62476 11.13541, 79.62647 11.13674)"
31,30,S,,26,29-30,237.7452583,1.16,21,,11.13674,79.62647,GOOD,GOOD,LT-3,CANAL,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62647 11.13674, 79.62848 11.13831)"
32,31,S,,26,30-31,279.9107209,2.24,21,,11.13831,79.62848,GOOD,GOOD,LT-1,"LAKE,TAAR",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62848 11.13831, 79.63081 11.14016)"
33,32,T,,26,31-32,326.5444052,1.71,20,"16⁰33'53"" LT",11.14016,79.63081,GOOD,GOOD,LT-2,TAAR,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63081 11.14016, 79.63223 11.14219)"
34,33,S,,26,32-33,272.8820631,1.12,20,,11.14219,79.63223,GOOD,GOOD,,"CANAL, SAND, COMPOUND WALL",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63223 11.14219, 79.63319 11.14374)"
35,34 TAPPING ,T,,28,33-34,200.9559505,1.28,20,"124⁰11'50"" RT",11.14374,79.63319,GOOD,GOOD,,CANAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63319 11.14374, 79.63363 11.14278)"
36,35,T,,28,34-35,116.5471636,1.58,19,"63⁰25'4"" LT",11.14278,79.63363,GOOD,,,CANAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63363 11.14278, 79.63389 11.14277)"
37,NEEDUR GANTRY,T,2W,20,35 -GAN ,28.41899449,,19,,11.14277,79.63389,,,,FENCING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
