S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 1,T,3W,DC,26,,,2.64,44.736485,,11.15527778,79.39947222,GOOD,,,,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39947222222223 11.155277777777778, 79.39925000000001 11.154916666666667)"
2,2,T,,H-POLE,12,LILO : 1-2,46.67365641,1.66,45.946762,"33°21'15"" R",11.15491667,79.39925,GOOD,NO E/W,,,PLAIN,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39925000000001 11.154916666666667, 79.39888888888889 11.154777777777777)"
3,3,T,,H-POLE,12,02-Mar,43.09818982,2.36,45.972511,"5°43'7"" L",11.15477778,79.39888889,GOOD,NO E/W,230 KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39888888888889 11.154777777777777, 79.39791666666667 11.154222222222222)"
4,4,T,2W,SC,22,03-Apr,122.8182143,1.98,44.671711,"7°4'58"" L",11.15422222,79.39791667,GOOD,NO E/W,,,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39791666666667 11.154222222222222, 79.39680555555556 11.153444444444444)"
5,5,T,,SC,22,04-May,148.56714,2.16,45.603893,"29°23'5"" R",11.15344444,79.39680556,GOOD,Available,,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39680555555556 11.153444444444444, 79.39416666666668 11.153111111111112)"
6,6,T,,SC,22,05-Jun,291.8747012,2.71,48.247498,"12°46'39"" R",11.15311111,79.39416667,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39416666666668 11.153111111111112, 79.39250000000001 11.153277777777777)"
7,7,S,,SA,22,06-Jul,181.1914858,3.13,48.750317,,11.15327778,79.3925,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39250000000001 11.153277777777777, 79.39133333333334 11.153444444444444)"
8,8,T,,SC,22,07-Aug,129.7892645,1.73,50.053864,"26°42'23"" R",11.15344444,79.39133333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39133333333334 11.153444444444444, 79.38944444444445 11.154694444444445)"
9,9,S,,SA,22,08-Sep,248.1964799,2.07,47.076832,,11.15469444,79.38944444,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38944444444445 11.154694444444445, 79.3878888888889 11.155666666666667)"
10,10,S,,SA,22,09-Oct,201.7172051,1.63,47.309509,,11.15566667,79.38788889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3878888888889 11.155666666666667, 79.38630555555557 11.156694444444446)"
11,11,S,,SA,22,10-Nov,206.6304429,1.1,44.583889,,11.15669444,79.38630556,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38630555555557 11.156694444444446, 79.38455555555556 11.157805555555555)"
12,12,T,,SC,22,11-Dec,226.1413248,2.19,44.471378,"39°34'36"" R",11.15780556,79.38455556,GOOD,Available,LT -2NO,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38455555555556 11.157805555555555, 79.38388888888889 11.159972222222223)"
13,13,T,,SC,22,Dec-13,250.0252314,2.13,46.050018,,11.15997222,79.38388889,GOOD,Available,LT -2NO,Devamangalam Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38388888888889 11.159972222222223, 79.38394444444445 11.161833333333334)"
14,14,S,,SA,22,13-14,208.3438624,3.01,47.110466,,11.16183333,79.38394444,GOOD,Available,,Canal,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38394444444445 11.161833333333334, 79.384 11.163833333333333)"
15,15,S,,SA,22,14-15,219.5952962,3.29,45.159939,,11.16383333,79.384,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.384 11.163833333333333, 79.38408333333334 11.165666666666667)"
16,16,T,,SC,22,15-16,204.7721032,3.71,48.171432,,11.16566667,79.38408333,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38408333333334 11.165666666666667, 79.38288888888889 11.167666666666666)"
17,17,T,,SC,22,16-17,254.4658014,2.94,49.31707,"42°5'34"" L",11.16766667,79.38288889,GOOD,Available,LT -2NO,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38288888888889 11.167666666666666, 79.38041666666666 11.168416666666666)"
18,18,S,,SA,22,17-18,283.7124457,1.19,51.883106,,11.16841667,79.38041667,GOOD,Available,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38041666666666 11.168416666666666, 79.37808333333332 11.169166666666666)"
19,19,S,,SA,22,18-19,268.8486702,2.34,52.636684,,11.16916667,79.37808333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.37808333333332 11.169166666666666, 79.37563888888889 11.169972222222222)"
20,20,T,2W,SC,22,19-20,279.9159801,1.49,54.749825,"3°4'19"" R",11.16997222,79.37563889,GOOD,Available,LT,,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.37563888888889 11.169972222222222, 79.37333333333332 11.170888888888888)"
21,21,S,,SA,22,20-21,269.5880714,1.73,53.769638,,11.17088889,79.37333333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.37333333333332 11.170888888888888, 79.37122222222222 11.171694444444444)"
22,22,T,,SC,22,21-22,249.1127479,2.72,54.889439,"19°5'12"" L",11.17169444,79.37122222,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.37122222222222 11.171694444444444, 79.36902777777777 11.171805555555554)"
23,23,T,,SC,22,22-23,240.0762607,1.98,56.179733,"16°49'36"" L",11.17180556,79.36902778,GOOD,Available,,Canal,Warer Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36902777777777 11.171805555555554, 79.36649999999999 11.171166666666666)"
24,24,T,,SC,22,23-24,283.5336952,2.31,57.46067,"26°32'55"" R",11.17116667,79.3665,GOOD,Available,LT,Kumbakonam Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36649999999999 11.171166666666666, 79.36402777777778 11.171694444444444)"
25,25,T,,SC,22,24-25,278.3684374,1.64,58.717728,"59°32'6"" R",11.17169444,79.36402778,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36402777777778 11.171694444444444, 79.36319444444445 11.174166666666666)"
26,26,S,,SA,22,25-26,288.9857097,4.01,61.383018,,11.17416667,79.36319444,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36319444444445 11.174166666666666, 79.36227777777778 11.176777777777778)"
27,27,T,,SC,22,26-27,303.6312366,3.3,62.914001,"15°13'29"" R",11.17677778,79.36227778,GOOD,Available,"LT,HT",Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36227777777778 11.176777777777778, 79.36213888888888 11.178833333333333)"
28,28,S,,SA,22,27-28,229.7351241,4.01,63.088882,,11.17883333,79.36213889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36213888888888 11.178833333333333, 79.36194444444443 11.181333333333333)"
29,29,T,,SC,22,28-29,275.2945341,4.67,64.095428,,11.18133333,79.36194444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36194444444443 11.181333333333333, 79.36227777777778 11.183472222222223)"
30,30,T,,SC,22,29-30,239.8324429,5.07,64.809357,,11.18347222,79.36227778,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36227777777778 11.183472222222223, 79.36208333333333 11.185833333333333)"
31,31,S,,SA,22,30-31,261.7768954,5.26,62.169411,,11.18583333,79.36208333,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36208333333333 11.185833333333333, 79.36208333333333 11.18688888888889)"
32,32,S,,SA,22,31-32,116.2678113,2.37,60.867828,,11.18688889,79.36208333,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36208333333333 11.18688888888889, 79.36183333333332 11.18888888888889)"
33,33,T,,SC,22,32-33,223.2080847,4.09,61.040154,,11.18888889,79.36183333,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36183333333332 11.18888888888889, 79.36291666666666 11.190222222222223)"
34,34,S,,SA,22,33-34,188.4708763,2.15,59.717079,,11.19022222,79.36291667,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36291666666666 11.190222222222223, 79.36427777777777 11.191972222222223)"
35,35,S,,SA,22,34-35,245.4384142,1.99,60.135246,,11.19197222,79.36427778,GOOD,Available,LT,NH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36427777777777 11.191972222222223, 79.3658611111111 11.193944444444444)"
36,36,T,2W,SC,22,35-36,276.2325873,2.26,60.354134,,11.19394444,79.36586111,GOOD,Available,LT,College Inside,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3658611111111 11.193944444444444, 79.36563888888888 11.196444444444445)"
37,37,S,,SA,22,36-37,277.9878802,1.76,62.760128,,11.19644444,79.36563889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36563888888888 11.196444444444445, 79.36547222222222 11.19875)"
38,38,S,,SA,22,37-38,254.9519782,2.86,63.997883,,11.19875,79.36547222,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36547222222222 11.19875, 79.36527777777778 11.201055555555556)"
39,39,T,,SC,22,38-39,256.6228718,3.1,63.596169,"25°37'17"" L",11.20105556,79.36527778,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36527777777778 11.201055555555556, 79.36405555555555 11.203166666666666)"
40,40,T,,SC,22,39-40,269.6748484,2.07,65.015228,"28°32'16"" L",11.20316667,79.36405556,GOOD,Available,LT -2NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36405555555555 11.203166666666666, 79.362 11.204388888888888)"
41,41,T,,SC,22,40-41,261.7836408,2.66,65.450409,"26°16'18"" L",11.20438889,79.362,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.362 11.204388888888888, 79.35952777777777 11.20461111111111)"
42,42,S,,SA,22,41-42,272.3675268,3.26,70.591133,,11.20461111,79.35952778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.35952777777777 11.20461111111111, 79.35722222222222 11.204833333333333)"
43,43,T,,SC,22,42-43,252.7458277,1.18,86.173889,"15°16'1"" L",11.20483333,79.35722222,GOOD,Available,,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.35722222222222 11.204833333333333, 79.35538888888888 11.204527777777777)"
44,44,T,,SC,22,43-44,203.3063706,2.17,86.078865,"8°8'49"" R",11.20452778,79.35538889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.35538888888888 11.204527777777777, 79.35394444444444 11.204472222222222)"
45,45,T,,SC,22,44-45,158.3166417,2.73,84.459648,"64°17'36"" R",11.20447222,79.35394444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.35394444444444 11.204472222222222, 79.35288888888888 11.20647222222222)"
46,46,T,,SC,22,45-46,250.3701936,1.97,84.464455,"11°34'7"" L",11.20647222,79.35288889,GOOD,Available,"LT,HT",Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.35288888888888 11.20647222222222, 79.3518611111111 11.207722222222221)"
47,47,T,,SC,22,46-47,177.3520945,3.13,82.873955,"13°43'20"" L",11.20772222,79.35186111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3518611111111 11.207722222222221, 79.35019444444444 11.208972222222222)"
48,48,T,,SC,22,47-48,228.8118164,2.64,82.74263,"29°50'1"" R",11.20897222,79.35019444,GOOD,Available,LT -4NO,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.35019444444444 11.208972222222222, 79.3496111111111 11.210333333333333)"
49,49,S,,SA,22,48-49,163.4198124,1.79,82.27713,,11.21033333,79.34961111,GOOD,Available,HT,Jayamkondan Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3496111111111 11.210333333333333, 79.34916666666666 11.211583333333333)"
50,50,T,,SC,22,49-50,144.651564,3.71,82.332016,,11.21158333,79.34916667,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.34916666666666 11.211583333333333, 79.35 11.213722222222222)"
51,51,T,,SC,22,50-51,254.6857634,2.65,81.124413,"58°46'57"" R",11.21372222,79.35,GOOD,Available,"LT,HT - 2NO",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.35 11.213722222222222, 79.35202777777778 11.214083333333333)"
52,52,S,,SA,22,51-52,224.9562407,1.84,79.931229,"1°38'19"" L",11.21408333,79.35202778,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.35202777777778 11.214083333333333, 79.354 11.2145)"
53,53,T,,SC,22,52-53,222.3130913,2.73,78.348511,"48°13'24"" R",11.2145,79.354,GOOD,Available,"LT,HT",NAG Colony,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.354 11.2145, 79.35530555555555 11.213583333333332)"
54,54,T,,SC,22,53-54,175.9142701,4.36,75.908791,"44°2'13"" R",11.21358333,79.35530556,GOOD,Available,HT -2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.35530555555555 11.213583333333332, 79.35533333333333 11.213472222222222)"
55,Gantry (Jayamkondan SS),Gantry,2W,H-POLE,12,54-Gantry,9.652884808,,76.589302,,11.21347222,79.35533333,GOOD,NO E/W,,,Rail,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
