SL.NO,TOWER NO,TOWER S/T,DEVIATION OF ANGLE ,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER NO,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
,SATHANKULAM,,,,,,,,,8.44123248465687,77.90319308259399,,,,,Sathankulam gantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90319308259399 8.44123248465687, 77.90294699635915 8.44151638073853)"
1,1,T,"26°21'36""RT",PB,20.85,Gantry (Sathankulam) - T1,41.511010828523155,2.78,23,8.44151638073853,77.90294699635915,NOT AVAILABLE,,,plain land,"Sc line :Plain land , Gantry SATHANKULAM - T1  earth WIRE is not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90294699635915 8.44151638073853, 77.90221441334171 8.44434961439008)"
2,2,T,"76°27'55""RT",PC,21.65,T1-T2,323.8467472817939,21.43,22,8.44434961439008,77.90221441334171,AVAILABLE,"11KV LINE, LT LINE",,plain land,"SC line    11kv line , Road ( nedunkulam - sathankulam ) ,  Lt line , Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90221441334171 8.44434961439008, 77.9046190129774 8.445621049389901)"
3,3,T,"50°59'18""RT",PC+3,24.65,T2-T3,300.080565718506,2.76,21,8.445621049389901,77.9046190129774,AVAILABLE,33KV LINE-3NOS,ODAI BUND,water logged area,"Sc line :  2nos 33kv  Line, Odai(nala) , temple , Odai bund , water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9046190129774 8.445621049389901, 77.90547363117278 8.445259530463266)"
4,4,T,"72°06'22""LT",PC,21.65,T3-T4,102.33970631185065,2.42,23,8.445259530463266,77.90547363117278,AVAILABLE,110KV LINE,POND,water logged area,"Sc line   110 kv over head crossing , pond , water logged land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90547363117278 8.445259530463266, 77.90695320798483 8.446975055131992)"
5,5,S,,PA,20.9,T4-T5,250.31242943369202,1.54,24,8.446975055131992,77.90695320798483,AVAILABLE,,POND,water logged area,"Sc line : Pond , water logged land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90695320798483 8.446975055131992, 77.90860746284372 8.448902479695914)"
6,6,S,,PA,20.9,T5-T6,280.65140153762337,1.63,22,8.448902479695914,77.90860746284372,AVAILABLE,11KV LINE,POND,water logged area,"Sc line    water logged land , POND,  11kv line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90860746284372 8.448902479695914, 77.90980774854104 8.450332125363953)"
7,7,S,,PA,20.9,T6-T7,206.26748018040283,1.7,20,8.450332125363953,77.90980774854104,AVAILABLE,,"POND,ODAI BUND,CART TRACK",water logged area,"Sc line Pond , Odai bund , cart track , water logged land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90980774854104 8.450332125363953, 77.91095808277194 8.451560794909135)"
8,8,T,"32°56'42""RT",PC,21.65,T7-T8,185.93884941294374,2.26,19,8.451560794909135,77.91095808277194,AVAILABLE,11KV LINE,,AGRI LAND,"Sc line   11kv line, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91095808277194 8.451560794909135, 77.9127280047929 8.452080077371024)"
9,9,S,,PA,20.9,T8-T9,203.36589075109052,1.58,18,8.452080077371024,77.9127280047929,AVAILABLE,,CART TRACK,AGRI LAND,"Sc line :  cart track , agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9127280047929 8.452080077371024, 77.91524928443187 8.452797318204174)"
10,10,T,"41°57'05""RT",PC,21.65,T9-T10,289.004068762018,1.4,17,8.452797318204174,77.91524928443187,AVAILABLE,,"ODAI (NALA), CART TRACK",water logged area,"Sc line   cart track , Odai( nala) , water logged land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91524928443187 8.452797318204174, 77.91701953895816 8.451932026977218)"
11,11,S,,PA,20,T10-T11,217.34903495520848,2.52,18,8.451932026977218,77.91701953895816,AVAILABLE,,CART TRACK,water logged area,"Sc line    cart track , water logged land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91701953895816 8.451932026977218, 77.91890211239252 8.451070387529281)"
12,12,S,,PA+3,23.9,T11-T12,228.35812371150385,1.74,19,8.451070387529281,77.91890211239252,AVAILABLE,,"BRIDGE ROAD,ODAI(NALA)",plain land,"Sc line  bridge Road ( tiruchendur - kanyakumari )Plain land, Oadai(nala)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91890211239252 8.451070387529281, 77.92130135280468 8.449923846793357)"
13,13,S,,PA,20.9,T12-T13,293.3108228705544,1.46,20,8.449923846793357,77.92130135280468,AVAILABLE,,CART TRACK,plain land,"sc line  cart track , Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92130135280468 8.449923846793357, 77.92369387964581 8.448752096163469)"
14,14,S,,PA,20.9,T13-T14,293.86618118623164,1.59,17,8.448752096163469,77.92369387964581,AVAILABLE,LT LINE,,plain land,"Sc line   LT line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92369387964581 8.448752096163469, 77.92616419759749 8.447585975703856)"
15,15,S,,PA,20.9,T14-T15,301.3172624742452,1.72,18,8.447585975703856,77.92616419759749,AVAILABLE,,CART TRACK,water logged area,"Sc line    cart track , water logged land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92616419759749 8.447585975703856, 77.9283146550882 8.446513391314033)"
16,16,S,,PA,20.9,T15-T16,265.09017524049744,1.89,16,8.446513391314033,77.9283146550882,AVAILABLE,,CART TRACK,plain land,"Sc line    cart track , Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9283146550882 8.446513391314033, 77.93059420333817 8.445407631320231)"
17,17,T,"01°41'19""LT",PB,20.85,T16-T17,279.47429151177056,2.49,15,8.445407631320231,77.93059420333817,AVAILABLE,,CART TRACK,water logged area,"Sc line    cart track , water logged land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93059420333817 8.445407631320231, 77.93289553666148 8.44437615577258)"
18,18,S,,PA,20.9,T17-T18,278.16095276828884,1.53,15,8.44437615577258,77.93289553666148,AVAILABLE,,ODAI(NALA),water logged area,"Sc line    Odai(nala) , water logged land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93289553666148 8.44437615577258, 77.93485958162339 8.443481661350727)"
19,19,S,,PA,20.9,T18-T19,238.04325539071135,1.82,15,8.443481661350727,77.93485958162339,AVAILABLE,,ODAI(NALA),water logged area,"Sc line : Odai(nala)( , water logged land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93485958162339 8.443481661350727, 77.93683871812024 8.442595113501115)"
20,20,S,,PA,20.9,T19-T20,239.19552792641224,1.71,14,8.442595113501115,77.93683871812024,AVAILABLE,,ODAI(NALA),water logged area,Sc line   Odai( nala) water logged land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93683871812024 8.442595113501115, 77.93895028678715 8.441656500903052)"
21,21,S,,PA,20.9,T20-T21,254.8734827576689,1.38,14,8.441656500903052,77.93895028678715,AVAILABLE,,ODAI(NALA) -2NOS,water logged area,"Sc line  Odai( nala)-2Nos  Retaining wall ,water logged land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93895028678715 8.441656500903052, 77.94129084639151 8.44063794698803)"
22,22,T,"08°09'31""LT",PB,20.85,T21-T22,281.5374298827472,2.54,16,8.44063794698803,77.94129084639151,AVAILABLE,11KV LINE,ODAI(NALA),plain land,"sc line    11kv line, odai(nala) , Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94129084639151 8.44063794698803, 77.94417221420258 8.439794812046431)"
23,23,S,,PA,20.9,T22-T23,331.01450919862106,1.76,16,8.439794812046431,77.94417221420258,AVAILABLE,LT LINE,,AGRI LAND,"Sc line    LT line , AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94417221420258 8.439794812046431, 77.94724937907998 8.438940396665142)"
24,24,T,"14°55'39""LT",PB+3,23.85,T23-T24,352.10740396226225,2.84,16,8.438940396665142,77.94724937907998,AVAILABLE,,"ODAI(NALA),ROAD",plain land,"Sc line : Road ( pothekalan velai - pannampari), Odai( nala) ,  LT line , Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94724937907998 8.438940396665142, 77.94989671727593 8.438860381126053)"
25,25,S,,PA,20.9,T24-T25,291.9285696416189,1.82,15,8.438860381126053,77.94989671727593,AVAILABLE,,"POND, ODAI BUND",water logged area,"Sc line Pond , Odai bund , water logged land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94989671727593 8.438860381126053, 77.95275997803951 8.438840720933124)"
26,26,T,"06°17'33""RT",PB+3,23.85,T25-T26,315.6020780792988,2.36,15,8.438840720933124,77.95275997803951,AVAILABLE,,"POND, ODAI BUND",plain land,"Sc line :Odai bund , pond , Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95275997803951 8.438840720933124, 77.95544385659093 8.43850798847869)"
27,27,S,,PA,20.9,T26-T27,298.10664460898545,1.84,14,8.43850798847869,77.95544385659093,AVAILABLE,LT LINE,CART TRACK,plain land,"SC line   cart track ,  LT line , Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95544385659093 8.43850798847869, 77.95783773099726 8.43820146779995)"
28,28,S,,PA,20.9,T27-T28,266.0311597632293,1.9,13,8.43820146779995,77.95783773099726,AVAILABLE,,,AGRI LAND,Sc line  Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95783773099726 8.43820146779995, 77.9605135677519 8.437867408886007)"
29,29,S,,PA,20.9,T28-T29,297.2471132660556,1.53,12,8.437867408886007,77.9605135677519,AVAILABLE,LT LINE,CART TRACK,plain land,"SC line. cart track, LT Line , Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9605135677519 8.437867408886007, 77.96312269343561 8.437562205447431)"
30,30,S,,PA,20.9,T29-T30,289.5635365321098,1.49,11,8.437562205447431,77.96312269343561,AVAILABLE,,CART TRACK,plain land,"Sc line :  cart track , Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96312269343561 8.437562205447431, 77.96555444551618 8.43720096140223)"
31,31,T,"15°31'32""RT",PB,20.85,T30-T31,271.00234341800757,2.78,13,8.43720096140223,77.96555444551618,AVAILABLE,,CART TRACK,plain land,"Sc line :  cart track , Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96555444551618 8.43720096140223, 77.96814378624927 8.436076923289804)"
32,32,S,,PA,20.9,T31-T32,311.3496510676538,1.76,12,8.436076923289804,77.96814378624927,AVAILABLE,LT LINE,"ODAI(NALA),CART TRACK",AGRI LAND,"Sc line    LT line, odai( nala) ,  cart track , coconut garden , Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96814378624927 8.436076923289804, 77.9699448895307 8.43535785263106)"
33,33,T,"21°20'34""RT",PB,20.85,T32-T33,213.88773363615087,2.74,14,8.43535785263106,77.9699448895307,AVAILABLE,LT LINE,,plain land,"Sc line    LT Line,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9699448895307 8.43535785263106, 77.97159377660634 8.433719779946552)"
34,34,S,,PA,20.9,T33-T34,256.73558938522643,1.37,13,8.433719779946552,77.97159377660634,AVAILABLE,,ODAI(NALA),water logged area,"Sc line Odai( nala) , water logged land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97159377660634 8.433719779946552, 77.97295666953889 8.432369254944966)"
35,35,S,,PA,20.9,T34-T35,211.9383608528738,1.9,13,8.432369254944966,77.97295666953889,AVAILABLE,,ODAI(NALA)-2NOS,water logged area,"Sc line   Odai(nala) -2Nos, retaining wall , water logged land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97295666953889 8.432369254944966, 77.97439802482079 8.43097892462788)"
36,36,S,,PA,20.9,T35-T36,221.1974306587165,1.81,13,8.43097892462788,77.97439802482079,AVAILABLE,,ODAI (NALA),plain land,"Sc line   Plain land, Odai(nala)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97439802482079 8.43097892462788, 77.97601606538468 8.429478472227656)"
37,37,T,"19°49'48""LT",PB,20.85,T36-T37,243.71520750247427,3.54,14,8.429478472227656,77.97601606538468,AVAILABLE,LT LINE,,AGRI LAND,"Sc line :  LT line, coconut garden, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97601606538468 8.429478472227656, 77.97826878917598 8.428416444980042)"
38,38,S,,PA+3,23.9,T37-T38,274.73454091179366,6.92,16,8.428416444980042,77.97826878917598,AVAILABLE,"LT LINE, 11KV LINE",ROAD,plain land,"Sc line   Road ( veppankadu - anbin nagaram), LT line, 11kv line,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97826878917598 8.428416444980042, 77.98088897234909 8.42724428546518)"
39,39,S,,PA,20.9,T38-T39,316.6238734681672,5.24,16,8.42724428546518,77.98088897234909,AVAILABLE,11KV LINE,"POND, ODAI BUND-2NOS",plain land,"Sc line    11kv line ,  Pond , 2nos Odai bund ,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98088897234909 8.42724428546518, 77.98288251963481 8.426306297253731)"
40,40,S,,PA+3,23.9,T39-T40,243.04069870090012,3.78,15,8.426306297253731,77.98288251963481,AVAILABLE,,,water logged area,Sc line    water logged land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98288251963481 8.426306297253731, 77.98544905896819 8.425183885003241)"
41,41,S,,PA,20.9,T40-T41,308.9870051393377,7.02,13,8.425183885003241,77.98544905896819,AVAILABLE,,,water logged area,Sc line    water logged land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98544905896819 8.425183885003241, 77.98794116992245 8.424098281366742)"
42,42,T,"18°33'41""LT",PB+3,23.85,T41-T42,299.83863757193285,2.43,13,8.424098281366742,77.98794116992245,AVAILABLE,,POND,water logged area,"Sc line    water logged land,Pond",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98794116992245 8.424098281366742, 77.991731 8.423975)"
43,43,S,,PA,20.9,T42-T43,339,5.49,14,8.423975,77.991731,AVAILABLE,,,,"Sc line    water logged land,Pond",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.991731 8.423975, 77.994192 8.423817)"
44,44,S,,PA,20.9,T43-T44,330,8.33,15,8.423817,77.994192,AVAILABLE,,,,"Sc line    water logged land,Pond",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.994192 8.423817, 77.99683939924999 8.423232351216217)"
45,45,S,,PA,20.9,T44-T45,320,2.28,15,8.423232351216217,77.99683939924999,AVAILABLE,,POND,PLAIN LAND,"SC line: Pond, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99683939924999 8.423232351216217, 77.99838603017915 8.423081387628303)"
46,46,T,"29°12'27""LT",PC,20.9,T45-T46,171.3034456863981,2.67,16,8.423081387628303,77.99838603017915,AVAILABLE,,,PLAIN LAND,"SC line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99838603017915 8.423081387628303, 78.00037723087577 8.421339803275698)"
47,47,S,,PA,20.9,T46-T47,292,4.17,14,8.421339803275698,78.00037723087577,AVAILABLE,LT LINE,CART TRACK,PLAIN LAND,"SC line, fencing, Lt  line,cart track, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00037723087577 8.421339803275698, 78.00239257102446 8.419729660757056)"
48,48,T,"33°33'23""LT",PC,21.65,T47-T48,284.8298649826496,6.62,13,8.419729660757056,78.00239257102446,AVAILABLE,,,"AGRI LAND, PLAIN LAND","SC line, agri land,  fencing-4Nos, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00239257102446 8.419729660757056, 78.00536446279692 8.419461114888827)"
49,49,T,"72°49'48""RT",PC+3,24.65,T48-T49,328.94472499189106,3.23,12,8.419461114888827,78.00536446279692,AVAILABLE,,ROAD,plain land,"SC line, Road , Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00536446279692 8.419461114888827, 78.00586771218917 8.417100024272953)"
50,50,T,"59°00'40""LT",PC,21.65,T49-T50,267.20378785114855,4.97,15,8.417100024272953,78.00586771218917,AVAILABLE,,,plain land,"SC line, Fencing,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00586771218917 8.417100024272953, 78.0070599502076 8.416691130212465)"
51,51,T,"52°37'30""LT",PC+3,24.65,T50-T51,139.00182356355046,4.33,14,8.416691130212465,78.0070599502076,AVAILABLE,11KV LINE,ROAD,plain land,"SC line ,11 kvLine, Road, Fencing,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0070599502076 8.416691130212465, 78.00875008399125 8.417921658339978)"
52,52,S,,PA,20.9,T51-T52,230.79278521001595,1.76,14,8.417921658339978,78.00875008399125,AVAILABLE,,,plain land,SC line Plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00875008399125 8.417921658339978, 78.01059241924843 8.419029804892869)"
53,53,T,"08°54'40""LT",PB,20.85,T52-T53,237.25598533436676,3.36,14,8.419029804892869,78.01059241924843,AVAILABLE,33KV LINE,,plain land,"SC line 33kv line,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01059241924843 8.419029804892869, 78.01189799159798 8.420325316546707)"
54,54,T,"39°19'16""LT",PC+3,23.9,T53-T54,203.17064821969748,7.72,13,8.420325316546707,78.01189799159798,AVAILABLE,"11KV LINE, LT LINE",ROAD,plain land,"SC line, Road , Transformer, 11kv Line, Lt Line,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01189799159798 8.420325316546707, 78.01362398818097 8.421865279691918)"
55,55,S,,PA,20.9,T54-T55,255.457186567521,2.84,12,8.421865279691918,78.01362398818097,AVAILABLE,,CART TRACK,plain land,"SC line,cart track, house,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01362398818097 8.421865279691918, 78.01559273488508 8.423596933511725)"
56,56,T,"29°00'20""LT",PB,20.85,T55-T56,289.5526074101214,2.96,12,8.423596933511725,78.01559273488508,AVAILABLE,LT LINE,,plain land,"SC line, lt Line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01559273488508 8.423596933511725, 78.01636956234057 8.4259132539109)"
57,57,T,"86°48'13""LT",PC,21.65,T56-T57,270.3382608399891,3.65,12,8.4259132539109,78.01636956234057,AVAILABLE,,,plain land,"SC line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01636956234057 8.4259132539109, 78.01601819707261 8.426052206199424)"
GANTRY,UDANGUDI,,,,,T57-Gantry (Udangudi),41.67394371786322,,,8.426052206199424,78.01601819707261,AVAILABLE,,,,pay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,=SUM(H6:H64)/1000,KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
